Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,54,11791,3155,39996,54188,60259,28,60857,0.000%,.18298,0.57,0.07
02 - frmGeneral.aspx/ObtenerMensajes,54,6870,4766,12204,13420,52109,19,60451,0.000%,.18220,4.71,0.10
03 - frmIngresoUsuarios.aspx/ValidarUsuario,54,5875,3394,11847,15984,31130,252,48862,0.000%,.18240,0.08,0.11
04-  frmIngresoUsuarios.aspx/ValidarContrasena,54,17889,9109,24827,88760,118116,1338,118211,0.000%,.17856,0.08,0.11
05 - frmIngresoUsuarios.aspx,54,4888,1764,7175,13091,13455,43,105324,0.000%,.17651,0.44,0.11
06 - frmSeleccionNegocioCorresponsal.aspx,54,7866,2325,9456,11055,109233,75,133110,70.370%,.17445,0.07,0.11
07 - frmInicio.aspx,54,2825,1314,7000,8482,13260,57,13680,0.000%,.17462,1.14,0.11
08 - frmGeneral.aspx/ObtenerMensajes,54,2882,247,7724,11284,12544,36,60654,0.000%,.17564,4.55,0.09
09 - frmGeneral.aspx/ObtenerMenu,54,7861,1468,6935,13334,119797,92,120213,0.000%,.17856,3.26,0.11
10 - frmGeneral.aspx/ObtenerMenuPagoServicios,54,7194,1274,5465,6900,106045,49,112884,0.000%,.18012,2.19,0.11
11 - frmGeneral.aspx/RedireccionaMenu,54,3345,785,5127,7164,9609,41,102678,83.333%,.18202,0.06,0.12
12 - frmInicio.aspx,54,3260,842,5657,7647,7800,48,90509,0.000%,.18076,0.70,0.11
13 - frmPagoAcueductos.aspx,54,2217,699,7097,9491,9959,58,10122,85.185%,.18124,0.56,0.11
14 - frmGeneral.aspx/ObtenerMensajes,54,717,95,2818,3502,4240,33,5701,0.000%,.18697,4.84,0.11
15 - frmGeneral.aspx/ObtenerMenu,54,2928,472,5650,6910,11754,69,79328,0.000%,.18855,1.89,0.13
16 - frmPagoAcueductos.aspx/TraerRecibosPendientes,54,2765,107,7304,9498,14171,19,81086,88.889%,.19020,0.06,0.17
17 - frmGeneral.aspx/CerrarSesion,54,828,44,2043,4251,9455,16,10558,88.889%,.19952,0.06,0.12
18 - frmIngresoUsuarios.aspx,54,1564,60,6248,7019,10214,24,25195,0.000%,.19641,1.49,0.10
19 - frmGeneral.aspx/ObtenerMensajes,54,2858,51,5287,8556,48533,23,52393,0.000%,.19952,5.16,0.11
TOTAL,1026,5075,1016,9498,15267,98447,16,133110,21.930%,2.76354,25.14,1.66
