Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,38,12877,5992,43335,53017,58788,33,58788,0.000%,.12967,0.40,0.05
02 - frmGeneral.aspx/ObtenerMensajes,38,7138,2935,12483,23786,58931,26,58931,0.000%,.13015,3.37,0.08
03 - frmIngresoUsuarios.aspx/ValidarUsuario,38,4474,3372,7144,13002,25825,196,25825,0.000%,.12958,0.06,0.08
04 - frmIngresoUsuarios.aspx/ValidarContrasena,38,11925,7322,18882,23490,113381,1003,113381,0.000%,.12872,0.06,0.09
05 - frmIngresoUsuarios.aspx,38,6050,1747,9601,11394,110282,51,110282,0.000%,.12961,0.30,0.08
06 - frmSeleccionNegocioCorresponsal.aspx,38,6140,2661,7606,8868,101572,87,101572,65.789%,.12961,0.05,0.08
07 - frmInicio.aspx,38,7991,1822,7671,10246,120166,77,120166,0.000%,.13100,0.84,0.08
09 - frmGeneral.aspx/ObtenerMensajes,38,1621,230,6472,6962,8616,21,8616,0.000%,.13042,3.37,0.08
10 - frmGeneral.aspx/ObtenerMenu,38,5570,1427,5599,9531,122317,61,122317,0.000%,.12800,2.55,0.08
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,38,6616,1079,6861,10717,108880,82,108880,0.000%,.12609,1.74,0.08
12 - frmGeneral.aspx/RedireccionaMenu,38,6468,775,5721,12915,99720,29,99720,81.579%,.12618,0.04,0.09
13 - Ingreso/frmInicio.aspx,38,2274,972,6403,8063,13211,57,13211,0.000%,.12912,0.46,0.08
14 - frmPagoTelefonicoClaroRecargas.aspx,38,7991,1081,7931,9454,131262,50,131262,86.842%,.12865,0.36,0.08
15 - frmGeneral.aspx/ObtenerMensajes,38,1696,139,5326,10271,24323,30,24323,0.000%,.13196,3.41,0.08
16 - frmGeneral.aspx/ObtenerMenu,38,4085,356,3375,5786,113249,47,113249,0.000%,.13529,1.11,0.09
17 - frmPagoTelefonicoClaroPospago.aspx/TraerRecibosPendientes,38,708,72,2443,3527,6121,18,6121,89.474%,.13688,0.04,0.12
18 - frmGeneral.aspx/CerrarSesion,38,1048,34,3759,7823,9430,16,9430,89.474%,.14059,0.04,0.10
19 - frmIngresoUsuarios.aspx,38,2261,79,1948,5194,54967,34,54967,0.000%,.14482,1.07,0.08
20 - frmGeneral.aspx/ObtenerMensajes,38,927,54,558,5248,16485,21,16485,0.000%,.14680,3.80,0.09
TOTAL,722,5150,1071,9435,16354,101572,16,131262,21.745%,1.99483,18.18,1.24
