Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,18,13190,3616,33453,51294,60056,27,60056,0.000%,.06337,0.20,0.03
02 - frmGeneral.aspx/ObtenerMensajes,18,7541,4585,12243,17257,45888,136,45888,0.000%,.06366,1.65,0.03
03 - frmIngresoUsuarios.aspx/ValidarUsuario,18,6904,4352,11263,11998,44932,177,44932,0.000%,.06231,0.03,0.04
04 - frmIngresoUsuarios.aspx/ValidarContrasena,18,18383,8398,25143,68671,94632,1309,94632,0.000%,.06190,0.03,0.04
05 - frmIngresoUsuarios.aspx,18,7691,1716,7827,12079,78842,105,78842,0.000%,.06202,0.16,0.04
06 - frmSeleccionNegocioCorresponsal.aspx,18,10505,3626,7685,8272,128798,423,128798,72.222%,.06286,0.02,0.04
07 - frmInicio.aspx,18,2460,1470,5723,6006,6738,90,6738,0.000%,.06360,0.39,0.04
09 - frmGeneral.aspx/ObtenerMensajes,18,670,217,1278,1757,5968,25,5968,0.000%,.06446,1.67,0.03
10 - frmGeneral.aspx/ObtenerMenu,18,2060,1542,3059,4380,12103,212,12103,0.000%,.06503,1.37,0.04
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,18,2020,866,4609,7620,9647,90,9647,0.000%,.06545,1.18,0.04
12 - frmGeneral.aspx/RedireccionaMenu,18,12227,896,7506,77596,115348,73,115348,83.333%,.06581,0.02,0.04
13 - frmInicio.aspx,18,2278,714,6669,7699,8236,126,8236,0.000%,.06655,0.30,0.04
14 - frmPagoElectricidad.aspx,18,2373,510,8121,8377,11134,90,11134,83.333%,.06735,0.23,0.04
15 - frmGeneral.aspx/ObtenerMensajes,18,686,70,1219,3480,5074,26,5074,0.000%,.07089,1.83,0.04
16 - frmGeneral.aspx/ObtenerMenu,18,2564,446,10012,11144,11334,68,11334,0.000%,.07101,0.91,0.05
17 - frmPagoElectricidad.aspx/ObtenerFacturasPendientes,18,9288,158,9898,30985,114939,66,114939,0.000%,.07286,0.03,0.07
18 - frmGeneral.aspx/CerrarSesion,18,7194,52,2298,3506,119828,18,119828,94.444%,.08442,0.02,0.05
19 - frmIngresoUsuarios.aspx,18,766,58,443,1672,9521,25,9521,0.000%,.08516,0.67,0.05
20 - frmGeneral.aspx/ObtenerMensajes,18,3422,64,215,674,59764,28,59764,0.000%,.08988,2.33,0.05
TOTAL,342,5906,1022,10012,21699,114939,18,128798,17.544%,.98911,9.64,0.60
