Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,30,11454,2705,34718,46777,59719,27,59719,0.000%,.10363,0.32,0.06
02 - frmGeneral.aspx/ObtenerMensajes,30,6754,4492,11883,14121,48793,16,48793,0.000%,.10458,2.71,0.06
03 - frmIngresoUsuarios.aspx/ValidarUsuario,30,5732,4324,10100,12717,22961,378,22961,0.000%,.10658,0.05,0.06
04 - frmIngresoUsuarios.aspx/ValidarContrasena,30,15005,7301,19573,20542,124903,1841,124903,0.000%,.10471,0.05,0.07
05 - frmIngresoUsuarios.aspx,30,3871,2834,7477,10657,12610,42,12610,0.000%,.10437,0.25,0.06
06 - frmSeleccionNegocioCorresponsal.aspx,30,6962,2842,7709,7759,100147,652,100147,66.667%,.10201,0.04,0.06
07 - frmInicio.aspx,30,2801,1719,6026,6434,11137,127,11137,0.000%,.10280,0.72,0.06
09 - frmGeneral.aspx/ObtenerMensajes,30,3443,407,6217,9732,51013,24,51013,0.000%,.10332,2.67,0.06
10 - frmGeneral.aspx/ObtenerMenu,30,10815,1102,7404,80155,109539,62,109539,0.000%,.10268,1.82,0.06
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,30,5199,1908,5456,6341,89032,125,89032,0.000%,.10234,1.34,0.06
12 - frmGeneral.aspx/RedireccionaMenu,30,4912,919,7773,8093,86463,37,86463,83.333%,.10411,0.03,0.07
13 - frmInicio.aspx,30,2352,1551,6396,7186,8159,62,8159,0.000%,.10561,0.39,0.06
14 - frmPagoDepositosJudiciales.aspx,30,6737,800,8747,9581,131664,66,131664,86.667%,.10646,0.32,0.07
15 - frmGeneral.aspx/ObtenerMensajes,30,952,176,1675,2034,12544,34,12544,0.000%,.10798,2.79,0.06
16 - frmGeneral.aspx/ObtenerMenu,30,1155,419,3853,3986,7368,58,7368,0.000%,.10614,1.09,0.07
17 - frmPagoDepositosJudiciales.aspx/ObtenerDetalleDepositoJudicial,30,2525,163,14899,16526,18267,21,18267,86.667%,.10771,0.03,0.08
18 - frmGeneral.aspx/CerrarSesion,30,4719,98,3812,7626,115823,16,115823,90.000%,.11798,0.03,0.07
19 - frmIngresoUsuarios.aspx,30,3220,120,1074,10172,59008,33,59008,0.000%,.12053,0.90,0.06
20 - frmGeneral.aspx/ObtenerMensajes,30,3031,62,2247,10380,57198,32,57198,0.000%,.12396,3.21,0.07
TOTAL,570,5349,1078,9971,16982,87230,16,131664,21.754%,1.59077,14.52,0.96
