Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,97,12003,3862,40899,56097,59709,24,61045,0.000%,.32432,1.00,0.13
02 - frmGeneral.aspx/ObtenerMensajes,97,6285,3278,12268,17008,53189,15,60217,0.000%,.32161,8.32,0.17
03 - frmIngresoUsuarios.aspx/ValidarUsuario,97,6283,3571,10915,15772,53006,183,56192,0.000%,.32143,0.14,0.19
04-  frmIngresoUsuarios.aspx/ValidarContrasena,97,12714,8037,17307,21688,95397,1053,119928,0.000%,.32067,0.15,0.20
05 - frmIngresoUsuarios.aspx,97,7314,1750,10220,13351,116981,44,120854,0.000%,.32080,0.85,0.19
06 - frmSeleccionNegocioCorresponsal.aspx,97,7360,2966,8682,13422,130314,62,131112,69.072%,.32379,0.12,0.20
07 - frmInicio.aspx,97,4634,1504,7300,8840,85762,58,120295,0.000%,.32442,2.13,0.20
09 - frmGeneral.aspx/ObtenerMensajes,97,3038,279,6051,6891,46962,25,59439,0.000%,.32347,8.37,0.17
10 - frmGeneral.aspx/ObtenerMenu,97,6293,1216,7721,11509,88911,69,92892,0.000%,.32521,5.85,0.20
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,97,3983,1638,5414,6499,80012,54,94267,0.000%,.32717,4.84,0.20
12 - frmGeneral.aspx/RedireccionaMenu,97,4512,948,6264,8141,87389,25,101948,80.412%,.32796,0.10,0.21
13 - frmInicio.aspx,97,2820,935,4497,7892,14011,47,97116,0.000%,.32794,1.19,0.19
14 - frmPagoElectricidad.aspx,97,5048,1043,8848,9708,121720,54,133403,83.505%,.32471,1.13,0.20
15 - frmGeneral.aspx/ObtenerMensajes,97,2263,168,6341,9022,44741,28,49119,0.000%,.32777,8.48,0.18
16 - frmGeneral.aspx/ObtenerMenu,97,6189,544,3990,12331,118129,52,121386,0.000%,.32656,2.88,0.20
17 - frmPagoElectricidad.aspx/ObtenerFacturasPendientes,97,3251,242,9274,22825,32428,49,33198,0.000%,.32498,0.15,0.28
18 - frmGeneral.aspx/CerrarSesion,97,8047,70,1656,91578,120551,14,120740,95.876%,.34732,0.10,0.22
19 - frmIngresoUsuarios.aspx,97,671,122,1090,1861,8432,26,14857,0.000%,.35508,2.80,0.19
20 - frmGeneral.aspx/ObtenerMensajes,97,565,48,833,3093,7077,23,12694,0.000%,.36316,9.40,0.20
TOTAL,1843,5435,1086,9689,16734,95397,14,133403,17.309%,5.09762,46.88,3.04
