Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,93,11713,4352,39611,48707,56911,25,60798,0.000%,.31143,0.96,0.14
02 - frmGeneral.aspx/ObtenerMensajes,93,6432,3170,13190,18402,57261,20,59328,0.000%,.31382,8.12,0.18
03 - frmIngresoUsuarios.aspx/ValidarUsuario,93,6177,3634,10722,14317,44243,198,56197,0.000%,.31118,0.14,0.19
04 - frmIngresoUsuarios.aspx/ValidarContrasena,93,14447,7912,20359,79670,96941,1091,116739,0.000%,.30800,0.14,0.20
05 - frmIngresoUsuarios.aspx,93,5258,1834,8171,10851,99063,34,111384,0.000%,.30821,0.81,0.20
06 - frmSeleccionNegocioCorresponsal.aspx,93,9755,2546,9400,13463,116197,70,140415,69.892%,.30765,0.12,0.20
07 - frmInicio.aspx,93,4818,1495,6226,6818,108453,78,133218,1.075%,.31472,1.98,0.21
09 - frmGeneral.aspx/ObtenerMensajes,93,1449,335,4743,6191,9565,23,10307,0.000%,.32141,8.32,0.18
10 - frmGeneral.aspx/ObtenerMenu,93,5670,1026,4754,8096,100863,70,129348,1.075%,.31591,5.67,0.20
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,93,3970,1024,6494,9705,78190,73,102354,0.000%,.31926,4.71,0.21
12 - frmGeneral.aspx/RedireccionaMenu,93,3579,858,5016,8897,73594,30,103374,79.570%,.32017,0.10,0.21
13 - frmInicio.aspx,93,4610,1001,5512,10786,77668,59,120975,0.000%,.32183,1.12,0.20
14 - frmPagoTelefonico.aspx,93,5080,1004,8931,10333,119789,65,130767,84.946%,.32561,0.43,0.22
15 - frmGeneral.aspx/ObtenerMensajes,93,1732,179,4529,5571,28817,28,48983,0.000%,.33029,8.55,0.19
16 - frmGeneral.aspx/ObtenerMenu,93,4923,500,7903,11191,108127,49,114634,0.000%,.32761,3.01,0.21
17 - frmPagoTelefonico.aspx/TraerRecibosPendientes,93,11263,89,61970,105289,108796,20,113967,88.172%,.33236,0.10,0.29
18 - frmGeneral.aspx/CerrarSesion,93,3921,74,3062,9681,89099,14,120753,97.849%,.38134,0.11,0.25
19 - frmIngresoUsuarios.aspx,93,1238,84,1415,3445,7524,23,57499,0.000%,.38949,2.99,0.22
20 - frmGeneral.aspx/ObtenerMensajes,93,769,55,1632,3601,6826,20,20906,0.000%,.38809,10.04,0.22
TOTAL,1767,5621,991,9854,18402,107627,14,140415,22.241%,4.87690,44.15,3.05
