Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,108,11985,4669,43420,51866,59318,26,59807,0.000%,.36349,1.12,0.20
02 - frmGeneral.aspx/ObtenerMensajes,108,6163,3104,13128,20629,42866,20,52603,0.000%,.36279,9.39,0.21
03 - frmIngresoUsuarios.aspx/ValidarUsuario,108,6708,3994,12457,27631,54977,228,61667,0.000%,.35722,0.16,0.21
04 - frmIngresoUsuarios.aspx/ValidarContrasena,108,13912,9412,19771,69046,110597,1164,120848,0.000%,.35285,0.16,0.22
05 - frmIngresoUsuarios.aspx,108,6404,1919,9344,13810,96856,37,110916,0.000%,.35077,0.96,0.21
06 - frmSeleccionNegocioCorresponsal.aspx,108,8065,2648,11488,14992,130225,57,132523,70.370%,.35202,0.13,0.22
07 - frmInicio.aspx,108,6503,1658,7534,10878,104832,93,128052,0.926%,.35869,2.16,0.22
09 - frmGeneral.aspx/ObtenerMensajes,108,2591,264,6976,10376,44257,24,51768,0.000%,.36126,9.35,0.19
10 - frmGeneral.aspx/ObtenerMenu,108,6072,1304,7073,13660,93822,56,95612,0.000%,.35835,5.81,0.22
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,108,2936,1261,4734,6574,10543,70,118878,0.000%,.36094,4.81,0.22
12 - frmGeneral.aspx/RedireccionaMenu,108,3770,834,3371,6684,116695,21,129175,81.481%,.36191,0.11,0.23
13 - frmInicio.aspx,108,2869,1050,4843,7867,13129,58,111767,0.000%,.36715,1.31,0.21
14 - frmPagoRecargas.aspx,108,4288,1000,9782,11681,91462,62,96074,84.259%,.37425,1.22,0.23
15 - frmGeneral.aspx/ObtenerMensajes,108,1788,127,5081,9592,15271,28,56731,0.000%,.39204,10.15,0.21
16 - frmGeneral.aspx/ObtenerMenu,108,3449,628,4508,8219,85393,53,122155,0.000%,.39859,4.27,0.25
17 - frmPagoTelefonico.aspx/TraerRecibosPendientes,108,4141,109,3465,12301,92309,16,103534,89.815%,.39910,0.12,0.34
18 - frmGeneral.aspx/CerrarSesion,108,2600,108,3319,7531,87591,12,95222,91.667%,.40042,0.11,0.25
19 - frmIngresoUsuarios.aspx,108,1500,104,2774,6807,17337,27,48726,0.000%,.40339,2.91,0.21
20 - frmGeneral.aspx/ObtenerMensajes,108,2107,72,3615,11289,54243,25,57751,0.000%,.40295,10.43,0.22
TOTAL,2052,5150,1095,10105,15271,93822,12,132523,22.027%,5.74256,51.94,3.46
