Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,64,12452,4606,48785,50567,58609,32,60010,0.000%,.21644,0.67,0.10
02 - frmGeneral.aspx/ObtenerMensajes,64,5483,2750,9252,23374,41355,25,44593,0.000%,.21691,5.61,0.12
03 - frmIngresoUsuarios.aspx/ValidarUsuario,64,5999,3676,12928,16167,25420,301,55127,0.000%,.21441,0.09,0.13
04 - frmIngresoUsuarios.aspx/ValidarContrasena,64,15754,8463,19294,69045,130873,1349,134960,3.125%,.21200,0.10,0.14
05 - frmIngresoUsuarios.aspx,64,5981,2150,7564,10994,79290,34,121064,0.000%,.21417,0.57,0.14
06 - frmSeleccionNegocioCorresponsal.aspx,64,8955,2691,11982,15732,112672,126,131928,70.312%,.21094,0.08,0.14
07 - frmInicio.aspx,64,7230,1388,8748,13689,93386,57,129303,1.562%,.21165,1.26,0.14
08 - frmGeneral.aspx/ObtenerMensajes,64,1444,313,5066,6632,11307,28,15291,0.000%,.21495,5.56,0.12
09 - frmGeneral.aspx/ObtenerMenu,64,4058,1488,5771,7441,11038,89,115386,0.000%,.21575,3.84,0.14
10 - frmGeneral.aspx/ObtenerMenuPagoServicios,64,3364,1298,5257,8898,11522,65,80127,0.000%,.21607,3.09,0.14
11 - frmGeneral.aspx/RedireccionaMenu,64,2939,704,5074,6199,13465,34,74490,79.688%,.21826,0.07,0.15
12 - frmInicio.aspx,64,3983,921,4282,9003,13378,80,131838,1.562%,.21396,0.77,0.13
13 - frmTransferenciasBCR.aspx,64,6148,745,8044,11908,106306,65,141911,84.375%,.21500,0.34,0.14
14 - frmGeneral.aspx/ObtenerMensajes,64,1983,268,5212,6763,10607,30,55970,0.000%,.21886,5.66,0.13
15 - frmGeneral.aspx/ObtenerMenu,64,7092,654,7256,72620,100813,56,117787,0.000%,.22247,1.64,0.14
16 - frmTransferenciasBCR.aspx/ObtenerMonedaCuenta,64,996,121,4324,5369,6610,38,14850,90.625%,.22892,0.07,0.16
17 - frmTransferenciasBCR.aspx/ValidarCuentaSICC,64,1576,240,5601,9637,11377,57,11430,0.000%,.23564,0.15,0.20
18 - frmGeneral.aspx/CerrarSesion,64,1989,54,2122,4764,9772,17,84941,92.188%,.24200,0.07,0.16
19 - frmIngresoUsuarios.aspx,64,1541,91,1531,6375,12265,28,56087,0.000%,.24062,1.90,0.14
20 - frmGeneral.aspx/ObtenerMensajes,64,1798,45,2289,6893,29961,22,44696,0.000%,.23867,6.18,0.13
TOTAL,1280,5038,972,8791,15732,93386,17,141911,21.172%,3.51995,30.01,2.21
