Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,658,12029,4333,44167,54422,59719,24,61045,0.000%,2.17552,6.73,0.99
02 - frmGeneral.aspx/ObtenerMensajes,658,6320,3366,13190,19661,54294,15,60451,0.000%,2.17015,56.16,1.20
03 - frmIngresoUsuarios.aspx/ValidarUsuario,658,6103,3676,11178,16167,53266,177,61667,0.000%,2.15852,0.94,1.27
04 - frmIngresoUsuarios.aspx/ValidarContrasena,507,15087,8720,21619,79670,119060,961,134960,0.394%,1.65464,0.76,1.06
05 - frmIngresoUsuarios.aspx,658,6110,1880,8940,12610,110282,34,121064,0.000%,2.11212,5.49,1.31
04-  frmIngresoUsuarios.aspx/ValidarContrasena,151,14565,8672,21451,72717,118116,1053,119928,0.000%,.49601,0.23,0.31
06 - frmSeleccionNegocioCorresponsal.aspx,658,8224,2691,9990,14513,130314,44,140415,69.909%,2.11672,0.80,1.34
07 - frmInicio.aspx,658,5306,1497,7000,10090,107625,57,133218,0.608%,2.10648,13.19,1.31
08 - frmGeneral.aspx/ObtenerMensajes,118,2102,313,6106,11274,15291,28,60654,0.000%,.38228,9.89,0.21
09 - frmGeneral.aspx/ObtenerMensajes,540,2137,286,6180,8458,41671,21,59439,0.000%,1.77267,45.87,0.96
09 - frmGeneral.aspx/ObtenerMenu,118,5798,1488,5771,9245,119797,89,120213,0.000%,.38376,6.91,0.24
10 - frmGeneral.aspx/ObtenerMenuPagoServicios,118,5117,1298,5257,8898,106045,49,112884,0.000%,.38029,5.07,0.24
10 - frmGeneral.aspx/ObtenerMenu,540,5878,1290,6946,11117,107987,51,129348,0.185%,1.76891,31.08,1.09
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,540,3594,1261,5692,7620,89032,54,118878,0.000%,1.75505,25.06,1.10
11 - frmGeneral.aspx/RedireccionaMenu,118,3125,785,5074,7164,74490,34,102678,81.356%,.38617,0.12,0.25
12 - frmInicio.aspx,118,3652,921,5161,7800,90509,48,131838,0.847%,.38282,1.42,0.23
12 - frmGeneral.aspx/RedireccionaMenu,540,4872,882,5721,11749,103374,21,129175,81.296%,1.76928,0.54,1.16
13 - Ingreso/frmInicio.aspx,38,2274,972,6403,8063,13211,57,13211,0.000%,.12912,0.46,0.08
13 - frmTransferenciasBCR.aspx,64,6148,745,8044,11908,106306,65,141911,84.375%,.21500,0.34,0.14
13 - frmInicio.aspx,502,3041,1008,5710,8087,74998,47,120975,0.000%,1.69717,6.13,1.02
14 - frmPagoTelefonicoClaroRecargas.aspx,38,7991,1081,7931,9454,131262,50,131262,86.842%,.12865,0.36,0.08
14 - frmGeneral.aspx/ObtenerMensajes,118,1404,247,3502,5396,10607,30,55970,0.000%,.38853,10.05,0.23
14 - frmPagoElectricidad.aspx,115,4630,1034,8837,9708,121720,54,133403,83.478%,.38497,1.34,0.24
15 - frmGeneral.aspx/ObtenerMensajes,540,1723,148,4683,7658,44741,26,60742,0.000%,1.82472,47.22,1.02
14 - frmPagoTelefonico.aspx,93,5080,1004,8931,10333,119789,65,130767,84.946%,.32561,0.43,0.22
13 - frmPagoAcueductos.aspx,54,2217,699,7097,9491,9959,58,10122,85.185%,.18124,0.56,0.11
16 - frmGeneral.aspx/ObtenerMenu,540,4123,524,5487,10615,113249,47,122155,0.000%,1.81797,17.24,1.15
14 - frmPagoRecargas.aspx,264,5536,1019,9113,11681,130459,61,132165,85.227%,.91484,2.81,0.57
14 - frmPagoDepositosJudiciales.aspx,30,6737,800,8747,9581,131664,66,131664,86.667%,.10646,0.32,0.07
15 - frmGeneral.aspx/ObtenerMenu,118,5186,523,6765,11163,100813,56,117787,0.000%,.39328,3.38,0.26
16 - frmTransferenciasBCR.aspx/ObtenerMonedaCuenta,64,996,121,4324,5369,6610,38,14850,90.625%,.22892,0.07,0.16
17 - frmPagoElectricidad.aspx/ObtenerFacturasPendientes,115,4195,220,9715,24517,33198,49,114939,0.000%,.38528,0.18,0.34
17 - frmPagoTelefonico.aspx/TraerRecibosPendientes,201,7436,101,6969,78883,107627,16,113967,89.055%,.71833,0.22,0.61
17 - frmPagoTelefonicoClaroPospago.aspx/TraerRecibosPendientes,38,708,72,2443,3527,6121,18,6121,89.474%,.13688,0.04,0.12
17 - frmPagoRecargas.aspx/ObtenerFacturasPendientes,156,1943,304,3414,7270,8923,58,121561,0.000%,.56961,0.27,0.45
18 - frmGeneral.aspx/CerrarSesion,604,3734,78,3234,7626,116109,12,120753,93.046%,2.16270,0.61,1.37
17 - frmTransferenciasBCR.aspx/ValidarCuentaSICC,64,1576,240,5601,9637,11377,57,11430,0.000%,.23564,0.15,0.20
16 - frmPagoAcueductos.aspx/TraerRecibosPendientes,54,2765,107,7304,9498,14171,19,81086,88.889%,.19020,0.06,0.17
