Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
01 - frmIngresoUsuarios.aspx,518,415,54,1454,1988,2717,23,3126,0.00%,1.7,5.4
02 - frmGeneral.aspx/ObtenerMensajes,518,332,33,1203,1970,2776,19,3797,0.00%,1.7,44.9
03 - frmIngresoUsuarios.aspx/ValidarUsuario,518,502,296,1140,1819,2743,141,3592,0.00%,1.7,.8
04 - frmIngresoUsuarios.aspx/ValidarContrasena,421,21119,1320,62662,63222,64180,715,122835,0.48%,1.4,.7
05 - frmIngresoUsuarios.aspx,518,8527,98,61453,62151,62909,39,63827,0.00%,1.7,5.3
04-  frmIngresoUsuarios.aspx/ValidarContrasena,97,20120,1330,62420,62901,63209,772,64148,0.00%,.3,.2
06 - frmSeleccionNegocioCorresponsal.aspx,518,785,106,421,697,2136,45,122714,99.03%,1.7,.5
07 - frmInicio.aspx,518,268,80,358,563,1194,39,60910,0.00%,1.8,4.5
09 - frmGeneral.aspx/ObtenerMensajes,346,89,27,246,353,945,16,1270,0.00%,1.2,30.3
08 - frmInicio.aspx,108,44,11,45,190,570,7,1131,100.00%,.4,.8
09 - frmInicio.aspx,108,47,9,37,389,609,7,782,100.00%,.4,.8
10 - frmGeneral.aspx/ObtenerMensajes,108,87,29,247,348,506,17,583,0.00%,.4,9.5
10 - frmGeneral.aspx/ObtenerMenu,346,144,89,306,498,684,46,922,0.00%,1.2,1.3
11 - frmGeneral.aspx/ObtenerMenu,108,705,89,274,529,783,44,60595,0.00%,.4,.2
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,346,665,91,255,489,1013,42,61437,0.00%,1.2,.5
08 - frmGeneral.aspx/ObtenerMensajes,64,98,29,275,340,354,14,1170,0.00%,.3,7.2
09 - frmGeneral.aspx/ObtenerMenu,64,1121,88,460,786,1137,51,60881,0.00%,.3,.1
12 - frmGeneral.aspx/RedireccionaMenu,346,611,43,212,405,674,20,61448,100.00%,1.5,.4
10 - frmGeneral.aspx/ObtenerMenuPagoServicios,64,143,98,285,436,460,45,548,0.00%,.3,.2
13 - frmInicio.aspx,346,129,79,271,490,660,41,777,0.00%,1.9,4.6
11 - frmGeneral.aspx/RedireccionaMenu,64,89,46,193,390,419,24,561,100.00%,.3,.1
14 - frmPagoTelefonico.aspx,93,172,94,381,611,995,50,1006,100.00%,.5,.1
12 - frmInicio.aspx,64,127,70,277,345,800,44,881,0.00%,.4,.9
15 - frmGeneral.aspx/ObtenerMensajes,346,69,27,233,251,480,14,701,0.00%,1.9,48.3
12 - frmGeneral.aspx/ObtenerMenuPagoServicios,108,701,86,352,462,765,46,60640,0.00%,.5,.2
13 - frmTransferenciasBCR.aspx,64,174,97,442,620,724,49,781,100.00%,.4,.1
16 - frmGeneral.aspx/ObtenerMenu,346,123,86,224,358,546,41,951,0.00%,1.9,.8
13 - frmGeneral.aspx/RedireccionaMenu,108,81,39,188,403,575,20,993,100.00%,.6,.2
14 - frmGeneral.aspx/ObtenerMensajes,64,105,31,258,449,597,17,694,0.00%,.4,9.1
14 - frmPagoRecargas.aspx,156,164,104,284,494,716,47,1085,100.00%,.8,.2
17 - frmPagoTelefonico.aspx/TraerRecibosPendientes,93,62,25,114,201,516,11,1050,100.00%,.5,.1
14 - Ingreso/frmInicio.aspx,108,113,73,184,370,674,43,711,0.00%,.6,1.4
15 - frmGeneral.aspx/ObtenerMenu,64,132,99,242,351,439,52,503,0.00%,.4,.2
18 - frmGeneral.aspx/CerrarSesion,410,49,24,94,166,386,10,530,100.00%,2.2,.6
14 - frmPagoElectricidad.aspx,97,145,82,250,494,781,47,800,100.00%,.5,.2
16 - frmTransferenciasBCR.aspx/ObtenerMonedaCuenta,64,83,57,99,155,346,36,937,100.00%,.4,.1
15 - frmPagoTelefonicoClaroPospago.aspx,108,143,92,283,421,744,45,769,100.00%,.6,.2
19 - frmIngresoUsuarios.aspx,410,48,31,71,162,312,16,719,0.00%,2.2,6.9
17 - frmTransferenciasBCR.aspx/ValidarCuentaSICC,64,143,103,229,404,482,43,693,0.00%,.4,.2
16 - frmGeneral.aspx/ObtenerMensajes,108,69,25,233,277,432,13,449,0.00%,.6,15.4
17 - frmPagoRecargas.aspx/ObtenerFacturasPendientes,156,146,93,261,454,729,48,943,0.00%,.9,.4
20 - frmGeneral.aspx/ObtenerMensajes,410,66,25,231,241,372,14,455,0.00%,2.2,57.9
17 - frmPagoElectricidad.aspx/ObtenerFacturasPendientes,97,131,83,239,366,860,48,951,0.00%,.5,.2
17 - frmGeneral.aspx/ObtenerMenu,108,132,84,240,416,754,44,1011,0.00%,.6,.3
18 - frmPagoTelefonicoClaroPospago.aspx/TraerRecibosPendientes,108,51,25,96,198,394,11,633,100.00%,.6,.2
19 - frmGeneral.aspx/CerrarSesion,108,46,22,74,165,491,10,517,100.00%,.6,.2
20 - frmIngresoUsuarios.aspx,108,46,28,83,174,260,17,352,0.00%,.6,1.9
21 - frmGeneral.aspx/ObtenerMensajes,108,73,27,238,315,423,13,464,0.00%,.6,15.5
TOTAL,10122,1743,73,680,1319,62278,7,122835,25.19%,33.6,211.5
