Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
01 - frmIngresoUsuarios.aspx,108,377,54,1120,1984,2635,23,3126,0.00%,.4,1.1
02 - frmGeneral.aspx/ObtenerMensajes,108,310,32,1132,1382,2564,20,3609,0.00%,.4,9.4
03 - frmIngresoUsuarios.aspx/ValidarUsuario,108,512,301,1267,1777,2737,160,3592,0.00%,.4,.2
04 - frmIngresoUsuarios.aspx/ValidarContrasena,108,21026,1308,62719,63004,63317,715,63344,0.00%,.4,.2
05 - frmIngresoUsuarios.aspx,108,8176,89,61447,62080,62596,43,62828,0.00%,.4,1.1
06 - frmSeleccionNegocioCorresponsal.aspx,108,1322,109,366,766,1744,53,122335,99.07%,.4,.1
07 - frmInicio.aspx,108,145,80,310,501,971,42,1194,0.00%,.4,.9
08 - frmInicio.aspx,108,44,11,45,190,570,7,1131,100.00%,.4,.8
09 - frmInicio.aspx,108,47,9,37,389,609,7,782,100.00%,.4,.8
10 - frmGeneral.aspx/ObtenerMensajes,108,87,29,247,348,506,17,583,0.00%,.4,9.5
11 - frmGeneral.aspx/ObtenerMenu,108,705,89,274,529,783,44,60595,0.00%,.4,.2
12 - frmGeneral.aspx/ObtenerMenuPagoServicios,108,701,86,352,462,765,46,60640,0.00%,.5,.2
13 - frmGeneral.aspx/RedireccionaMenu,108,81,39,188,403,575,20,993,100.00%,.6,.2
14 - Ingreso/frmInicio.aspx,108,113,73,184,370,674,43,711,0.00%,.6,1.4
15 - frmPagoTelefonicoClaroPospago.aspx,108,143,92,283,421,744,45,769,100.00%,.6,.2
16 - frmGeneral.aspx/ObtenerMensajes,108,69,25,233,277,432,13,449,0.00%,.6,15.4
17 - frmGeneral.aspx/ObtenerMenu,108,132,84,240,416,754,44,1011,0.00%,.6,.3
18 - frmPagoTelefonicoClaroPospago.aspx/TraerRecibosPendientes,108,51,25,96,198,394,11,633,100.00%,.6,.2
19 - frmGeneral.aspx/CerrarSesion,108,46,22,74,165,491,10,517,100.00%,.6,.2
20 - frmIngresoUsuarios.aspx,108,46,28,83,174,260,17,352,0.00%,.6,1.9
21 - frmGeneral.aspx/ObtenerMensajes,108,73,27,238,315,423,13,464,0.00%,.6,15.5
TOTAL,2268,1629,65,555,1230,62092,7,122335,33.29%,7.6,45.3
