Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
01 - frmIngresoUsuarios.aspx,156,424,60,1534,1944,2490,23,2841,0.00%,.5,1.6
02 - frmGeneral.aspx/ObtenerMensajes,156,328,38,1209,1847,2467,19,3797,0.00%,.5,13.5
03 - frmIngresoUsuarios.aspx/ValidarUsuario,156,517,296,1188,1870,2688,153,3165,0.00%,.5,.2
04 - frmIngresoUsuarios.aspx/ValidarContrasena,156,20827,1304,62456,63166,63905,807,64488,0.00%,.5,.2
05 - frmIngresoUsuarios.aspx,156,8871,89,61279,62304,62905,45,63092,0.00%,.5,1.6
06 - frmSeleccionNegocioCorresponsal.aspx,156,964,98,363,697,1270,45,122714,99.36%,.5,.2
07 - frmInicio.aspx,156,150,77,250,622,943,44,1302,0.00%,.5,1.3
09 - frmGeneral.aspx/ObtenerMensajes,156,83,27,237,353,579,16,1100,0.00%,.5,13.7
10 - frmGeneral.aspx/ObtenerMenu,156,132,88,266,410,603,46,684,0.00%,.5,.5
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,156,530,96,248,467,987,46,60657,0.00%,.5,.2
12 - frmGeneral.aspx/RedireccionaMenu,156,470,44,157,399,553,22,60594,100.00%,.7,.2
13 - frmInicio.aspx,156,132,84,276,487,622,41,660,0.00%,.8,2.1
14 - frmPagoRecargas.aspx,156,164,104,284,494,716,47,1085,100.00%,.8,.2
15 - frmGeneral.aspx/ObtenerMensajes,156,61,26,222,247,439,14,701,0.00%,.8,21.9
16 - frmGeneral.aspx/ObtenerMenu,156,121,85,220,344,469,41,951,0.00%,.8,.4
17 - frmPagoRecargas.aspx/ObtenerFacturasPendientes,156,146,93,261,454,729,48,943,0.00%,.9,.4
18 - frmGeneral.aspx/CerrarSesion,156,45,23,94,116,259,10,488,100.00%,.9,.2
19 - frmIngresoUsuarios.aspx,156,46,30,71,140,243,16,372,0.00%,.9,2.6
20 - frmGeneral.aspx/ObtenerMensajes,156,63,25,228,235,340,14,455,0.00%,.9,22.1
TOTAL,2964,1793,76,716,1329,62323,10,122714,21.02%,9.9,63.3
