Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
01 - frmIngresoUsuarios.aspx,93,416,45,1375,1493,2546,24,2717,0.00%,.3,1.0
02 - frmGeneral.aspx/ObtenerMensajes,93,320,31,991,1858,3353,19,3595,0.00%,.3,8.1
03 - frmIngresoUsuarios.aspx/ValidarUsuario,93,477,288,897,1819,2673,141,2986,0.00%,.3,.1
04 - frmIngresoUsuarios.aspx/ValidarContrasena,93,21585,1273,62648,63800,64397,755,122677,1.08%,.3,.1
05 - frmIngresoUsuarios.aspx,93,8181,106,61372,61966,62631,42,63093,0.00%,.3,1.0
06 - frmSeleccionNegocioCorresponsal.aspx,93,197,103,494,609,1150,55,2201,98.92%,.3,.1
07 - frmInicio.aspx,93,159,82,370,524,1205,39,1261,0.00%,.3,.8
09 - frmGeneral.aspx/ObtenerMensajes,93,92,31,259,297,609,17,946,0.00%,.3,8.2
10 - frmGeneral.aspx/ObtenerMenu,93,156,98,409,500,630,48,633,0.00%,.3,.4
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,93,801,85,285,472,1013,43,61437,0.00%,.3,.1
12 - frmGeneral.aspx/RedireccionaMenu,93,742,43,259,406,580,20,60660,100.00%,.4,.1
13 - frmInicio.aspx,93,124,79,237,432,513,41,665,0.00%,.5,1.2
14 - frmPagoTelefonico.aspx,93,172,94,381,611,995,50,1006,100.00%,.5,.1
15 - frmGeneral.aspx/ObtenerMensajes,93,73,30,234,239,346,16,358,0.00%,.5,13.1
16 - frmGeneral.aspx/ObtenerMenu,93,132,96,278,360,442,52,546,0.00%,.5,.2
17 - frmPagoTelefonico.aspx/TraerRecibosPendientes,93,62,25,114,201,516,11,1050,100.00%,.5,.1
18 - frmGeneral.aspx/CerrarSesion,93,47,21,80,164,376,10,522,100.00%,.5,.1
19 - frmIngresoUsuarios.aspx,93,56,31,83,205,375,17,569,0.00%,.5,1.6
20 - frmGeneral.aspx/ObtenerMensajes,93,67,24,232,240,417,15,434,0.00%,.5,13.2
TOTAL,1767,1782,74,655,1268,62149,10,122677,26.32%,5.9,38.0
